"country.name","year","population","GDP.per.capita.Current.USD","Life expectancy at birth, total (years)","GINI Index","region.value","incomeLevel.value"
"Andorra",1960,13414,NA,NA,NA,"Europe & Central Asia","High income: nonOECD"
"Andorra",1961,14376,NA,NA,NA,"Europe & Central Asia","High income: nonOECD"
"Andorra",1962,15376,NA,NA,NA,"Europe & Central Asia","High income: nonOECD"
"Andorra",1963,16410,NA,NA,NA,"Europe & Central Asia","High income: nonOECD"
"Andorra",1964,17470,NA,NA,NA,"Europe & Central Asia","High income: nonOECD"
"Andorra",1965,18551,NA,NA,NA,"Europe & Central Asia","High income: nonOECD"
"Andorra",1966,19646,NA,NA,NA,"Europe & Central Asia","High income: nonOECD"
"Andorra",1967,20755,NA,NA,NA,"Europe & Central Asia","High income: nonOECD"
"Andorra",1968,21888,NA,NA,NA,"Europe & Central Asia","High income: nonOECD"
"Andorra",1969,23061,NA,NA,NA,"Europe & Central Asia","High income: nonOECD"
"Andorra",1970,24279,3238.08930857635,NA,NA,"Europe & Central Asia","High income: nonOECD"
"Andorra",1971,25560,3497.91312652628,NA,NA,"Europe & Central Asia","High income: nonOECD"
"Andorra",1972,26892,4217.40041168169,NA,NA,"Europe & Central Asia","High income: nonOECD"
"Andorra",1973,28231,5343.12277676194,NA,NA,"Europe & Central Asia","High income: nonOECD"
"Andorra",1974,29514,6320.97187804694,NA,NA,"Europe & Central Asia","High income: nonOECD"
"Andorra",1975,30706,7168.39870956809,NA,NA,"Europe & Central Asia","High income: nonOECD"
"Andorra",1976,31781,7151.57376813729,NA,NA,"Europe & Central Asia","High income: nonOECD"
"Andorra",1977,32769,7751.169371822,NA,NA,"Europe & Central Asia","High income: nonOECD"
"Andorra",1978,33746,9127.61169904434,NA,NA,"Europe & Central Asia","High income: nonOECD"
"Andorra",1979,34819,11819.6457899758,NA,NA,"Europe & Central Asia","High income: nonOECD"
"Andorra",1980,36063,12377.7138585391,NA,NA,"Europe & Central Asia","High income: nonOECD"
"Andorra",1981,37502,10372.3271798169,NA,NA,"Europe & Central Asia","High income: nonOECD"
"Andorra",1982,39112,9611.23805783753,NA,NA,"Europe & Central Asia","High income: nonOECD"
"Andorra",1983,40862,8023.34562682223,NA,NA,"Europe & Central Asia","High income: nonOECD"
"Andorra",1984,42704,7729.32336402426,NA,NA,"Europe & Central Asia","High income: nonOECD"
