id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22885486,Habitación doble al lado del Camp Nou,169346503,Andreyna,Les Corts,la Maternitat i Sant Ramon,41.37665,2.12201,Private room,35,1,14,2018-06-01,0.57,1,0
22891830,Bright & spacious apartment with balcony,35680770,Xavi,Les Corts,les Corts,41.38778,2.13539,Entire home/apt,161,3,9,2019-06-16,0.40,21,97
22892177,Room in Sant Gervasi (Santaló Area) - Barcelona,89367617,Flor,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.3949,2.14342,Entire home/apt,17,90,0,,,1,90
22892724,Relaxing  & roomy 4 Bedroom apartment HUT-012568,35680770,Xavi,Les Corts,les Corts,41.38679,2.13541,Entire home/apt,150,3,8,2019-08-13,0.37,21,113
22893403,Art Gallery Apartment with Patio,21873399,Sol,Sants-Montjuïc,el Poble Sec,41.37482,2.16277,Hotel room,70,3,4,2019-02-24,0.18,41,306
22898131,Rambla Catalunya 1º by Montaber,2509252,Montaber,Eixample,la Dreta de l'Eixample,41.39073,2.16471,Entire home/apt,120,1,37,2019-12-01,1.77,23,305
22903344,A cozy place in Bruc 5. Centrical. WIFI. Confort.,169527279,Oleguer,Eixample,la Dreta de l'Eixample,41.3904,2.17637,Entire home/apt,120,3,1,2018-07-16,0.05,1,0
22906010,Single room in Barcelona for perfect stay,8472931,Alex,Sant Martí,la Verneda i la Pau,41.42516,2.20356,Private room,19,2,4,2019-10-08,0.24,2,76
22911094,Glamorous finely refurbished central apartment,53894342,Jorge,Eixample,l'Antiga Esquerra de l'Eixample,41.38581,2.15685,Entire home/apt,53,90,0,,,10,283
22917625,A beautiful room in Poblenou. Great location!,169676008,Satoshi,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38615,2.18134,Private room,21,3,1,2018-01-30,0.04,1,0
22917662,Paseo de Gracia Apartment 1-1,4396136,Marisa,Eixample,la Dreta de l'Eixample,41.40076,2.16558,Entire home/apt,70,3,10,2020-02-02,0.46,30,314
22919140,236 - AB Poble Sec Apartment - Traditional 3-Bedroom Poble Sec Apartment with a Balcony near Montjuïc,4459553,Eva&Jack,Sants-Montjuïc,el Poble Sec,41.37149,2.16086,Entire home/apt,400,3,23,2019-12-04,0.95,152,294
22919143,1255 - AB Olympic Village Beach - Trendy 3-Bedroom Apartment Close to the Beach and Port Olímpic (Families Only),4459553,Eva&Jack,Sant Martí,la Vila Olímpica del Poblenou,41.38987,2.19668,Entire home/apt,400,3,24,2020-01-15,1.07,152,284
22919144,1801 - AB Paral·lel Tapioles - Trendy 1-Bedroom Poble Sec Apartment with a Balcony near Montjuïc,4459553,Eva&Jack,Sants-Montjuïc,el Poble Sec,41.37323,2.16314,Entire home/apt,400,2,32,2020-01-14,1.43,152,280
22919145,1814 - AB Sagrada Família Cartagena - Stylish Apartment with a Balcony near the Beautiful Sagrada Família,4459553,Eva&Jack,Eixample,la Sagrada Família,41.40515,2.18181,Entire home/apt,400,2,7,2020-02-01,1.14,152,310
22919246,1816 - AB Paral·lel Vallhonrat - Colourful 2-Bedroom Apartment with a Balcony near Plaça d´Espanya,4459553,Eva&Jack,Sants-Montjuïc,el Poble Sec,41.37342,2.15733,Entire home/apt,400,2,11,2020-01-01,0.47,152,326
22919248,1818 - AB Berlin Les Corts Apartment - Cosy 3-Bedroom Apartment with a Balcony near FC Barcelona´s Camp Nou Stadium,4459553,Eva&Jack,Les Corts,les Corts,41.38344,2.13734,Entire home/apt,400,2,13,2019-12-10,0.56,152,280
22919249,"1843 - AB Sagrada Família Passatge Font - Cosy 1-Bedroom Apartment with a Balcony, Steps from the Sagrada Família",4459553,Eva&Jack,Eixample,la Sagrada Família,41.40181,2.17525,Entire home/apt,400,2,31,2020-01-28,1.39,152,312
22919250,1889 - AB Montserrat Comfort Apartment 4 -1 - Comfortable 2-Bedroom Apartment with a Balcony in a Quiet Neighbourhood,4459553,Eva&Jack,Horta-Guinardó,el Guinardó,41.42355,2.17461,Entire home/apt,65,32,3,2019-08-25,0.14,152,239
22919251,2598 - AB Sants Terrace 1-1 - Modern apartment with large terrace in Sants Neighbourhood,4459553,Eva&Jack,Sants-Montjuïc,Sants - Badal,41.37302,2.12968,Entire home/apt,400,3,16,2019-11-24,0.81,152,353
22920619,"Auditorio, Friendly Rentals",102947901,Claudia,Eixample,el Fort Pienc,41.39631,2.1841,Entire home/apt,105,1,17,2019-12-30,1.01,139,234
